paper_id,title,year,citation_key,arxiv_id,doi,url,record_origin,substrate,adaptation,outcome,outcome_detail,substrate_score,substrate_margin,adaptation_score,adaptation_margin,outcome_score,outcome_margin,outcome_detail_score,outcome_detail_margin,confidence,source_status
agentdojo-a-dynamic-environment-to-evaluate-prompt-injection-attacks-and-defense,AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents,2024,debenedetti2024agentdojo,2406.13352,10.48550/arXiv.2406.13352,https://arxiv.org/abs/2406.13352,registry,Tools & Skills,Add,Response,Monitoring & Containment,3.10,0.60,7.45,1.00,25.40,16.00,12.00,10.00,low,full_text
a-survey-on-backdoor-threats-in-large-language-models-llms-attacks-defenses-and,"A Survey on Backdoor Threats in Large Language Models (LLMs): Attacks, Defenses, and Evaluation Methods",2025,zhou_2025_a_survey_on_backdoor_threats,,10.53941/tai.2025.100003,https://doi.org/10.53941/tai.2025.100003,registry,Memory,Add,Violation,Persistent Descendants,2.50,0.00,7.45,4.57,21.20,6.50,4.40,1.40,low,full_text
injecagent-benchmarking-indirect-prompt-injections-in-tool-integrated-large-lang,InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents,2024,zhan_2024_injecagent_benchmarking_indi,,10.48550/arxiv.2403.02691,http://arxiv.org/abs/2403.02691,registry,Tools & Skills,Add,Response,Monitoring & Containment,7.10,5.10,7.45,0.93,18.05,10.45,11.76,9.76,low,full_text
agent-security-bench-asb-formalizing-and-benchmarking-attacks-and-defenses-in-ll,Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents,2024,zhang_2024_agent_security_bench_asb_for,,10.48550/arxiv.2410.02644,http://arxiv.org/abs/2410.02644,registry,Memory,Modify,Response,Monitoring & Containment,4.03,2.03,2.00,1.42,16.90,4.15,6.76,2.36,low,full_text
unique-security-and-privacy-threats-of-large-language-models-a-comprehensive-sur,Unique Security and Privacy Threats of Large Language Models: A Comprehensive Survey,2024,wang_2024_unique_security_and_privacy,,10.48550/arxiv.2406.07973,http://arxiv.org/abs/2406.07973,registry,Memory,Modify,Violation,Privacy & Purpose,3.25,0.75,2.30,2.30,16.50,12.00,6.00,3.00,low,full_text
r-judge-benchmarking-safety-risk-awareness-for-llm-agents,R-Judge: Benchmarking Safety Risk Awareness for LLM Agents,2024,yuan2024rjudge,2401.10019,10.48550/arXiv.2401.10019,https://arxiv.org/abs/2401.10019,registry,Tools & Skills,Modify,Response,Monitoring & Containment,2.50,0.50,0.45,0.45,16.55,3.35,8.38,6.38,low,full_text
recommender-systems-meet-large-language-model-agents-a-survey,Recommender Systems Meet Large Language Model Agents: A Survey,2025,zhu_2025_recommender_systems_meet_lar,,10.1561/3300000050,https://doi.org/10.1561/3300000050,registry,Workflow,Modify,Response,Monitoring & Containment,2.00,2.00,2.00,2.00,13.00,13.00,7.30,5.30,low,source_limited
privacyasst-safeguarding-user-privacy-in-tool-using-large-language-model-agents,PrivacyAsst: Safeguarding User Privacy in Tool-Using Large Language Model Agents,2024,zhang_2024_privacyasst_safeguarding_use,,10.1109/tdsc.2024.3372777,https://doi.org/10.1109/tdsc.2024.3372777,registry,Tools & Skills,Modify,Violation,Privacy & Purpose,6.50,2.50,10.60,10.60,6.50,1.00,6.00,3.00,medium,abstract_or_short
prompt-injection-attacks-in-large-language-models-and-ai-agent-systems-a-compreh,"Prompt Injection Attacks in Large Language Models and AI Agent Systems: A Comprehensive Review of Vulnerabilities, Attack Vectors, and Defense Mechanisms",2026,gulyamov_2026_prompt_injection_attacks_in,,10.3390/info17010054,https://doi.org/10.3390/info17010054,registry,Tools & Skills,Activate,Violation,Authority Escalation,9.50,9.50,14.00,7.00,21.00,15.50,10.00,6.00,high,abstract_or_short
fine-tuned-large-language-models-llms-improved-prompt-injection-attacks-detectio,Fine-tuned Large Language Models (LLMs): Improved Prompt Injection Attacks Detection,2025,rahman_2025_fine_tuned_large_language_mo,,10.1109/compsac65507.2025.00134,https://doi.org/10.1109/compsac65507.2025.00134,registry,Tools & Skills,Activate,Violation,Authority Escalation,9.50,5.50,14.00,7.00,18.50,14.50,10.00,6.00,high,abstract_or_short
adaptive-attacks-break-defenses-against-indirect-prompt-injection-attacks-on-llm,Adaptive Attacks Break Defenses Against Indirect Prompt Injection Attacks on LLM Agents,2025,zhan_2025_adaptive_attacks_break_defen,,10.18653/v1/2025.findings-naacl.395,https://doi.org/10.18653/v1/2025.findings-naacl.395,registry,Tools & Skills,Activate,Violation,Authority Escalation,9.50,9.50,14.00,7.00,17.00,8.50,10.00,6.00,high,full_text
on-protecting-the-data-privacy-of-large-language-models-llms-and-llm-agents-a-li,On protecting the data privacy of Large Language Models (LLMs) and LLM agents: A literature review,2025,yan_2025_on_protecting_the_data_priva,,10.1016/j.hcc.2025.100300,https://doi.org/10.1016/j.hcc.2025.100300,registry,Workflow,Modify,Violation,Privacy & Purpose,4.00,4.00,10.30,10.30,6.50,2.50,6.00,4.00,medium,source_limited
knowledge-sharing-in-manufacturing-using-llm-powered-tools-user-study-and-model,Knowledge sharing in manufacturing using LLM-powered tools: user study and model benchmarking,2024,freire_2024_knowledge_sharing_in_manufac,,10.3389/frai.2024.1293084,https://doi.org/10.3389/frai.2024.1293084,registry,Tools & Skills,Modify,Response,Monitoring & Containment,7.10,3.62,2.82,2.30,10.35,1.50,6.76,4.76,low,full_text
evaluation-and-benchmarking-of-llm-agents-a-survey,Evaluation and Benchmarking of LLM Agents: A Survey,2025,mohammadi_2025_evaluation_and_benchmarking,,10.1145/3711896.3736570,https://doi.org/10.1145/3711896.3736570,registry,Memory,Abstract,Response,Monitoring & Containment,3.25,0.75,2.00,0.00,15.50,7.00,6.90,4.90,low,full_text
agentpoison-red-teaming-llm-agents-via-poisoning-memory-or-knowledge-bases,AgentPoison: Red-teaming LLM Agents via Poisoning Memory or Knowledge Bases,2024,chen2024agentpoison,2407.12784,10.48550/arXiv.2407.12784,https://arxiv.org/abs/2407.12784,registry,Memory,Add,Violation,Provenance Loss,15.81,15.12,12.59,9.70,7.10,5.25,7.06,6.66,medium,full_text
exploring-autonomous-agents-through-the-lens-of-large-language-models-a-review,Exploring Autonomous Agents through the Lens of Large Language Models: A Review,2024,saikat_2024_exploring_autonomous_agents,,10.48550/arxiv.2404.04442,http://arxiv.org/abs/2404.04442,registry,Tools & Skills,Modify,Response,Monitoring & Containment,3.10,0.23,2.52,2.52,7.05,0.05,2.70,0.70,low,full_text
artificial-intelligence-orchestration-for-text-based-ultrasonic-simulation-via-s,Artificial intelligence orchestration for text-based ultrasonic simulation via self-review by multi-large language model agents,2025,kim_2025_artificial_intelligence_orch,,10.1038/s41598-025-97498-y,https://doi.org/10.1038/s41598-025-97498-y,registry,Workflow,Modify,Violation,Operational Integrity,6.60,3.50,2.45,2.00,8.85,2.25,2.46,0.06,low,full_text
a-survey-of-self-evolving-agents-what-when-how-and-where-to-evolve-on-the-path-t,"A Survey of Self-Evolving Agents: What, When, How, and Where to Evolve on the Path to Artificial Super Intelligence",2025,gao2025self_evolving_agents,2507.21046,10.48550/arXiv.2507.21046,https://arxiv.org/abs/2507.21046,registry,Workflow,Modify,Response,Monitoring & Containment,5.69,1.84,7.49,7.04,4.75,4.75,2.76,2.76,low,full_text
voyager-an-open-ended-embodied-agent-with-large-language-models,Voyager: An Open-Ended Embodied Agent with Large Language Models,2023,wang2023voyager,2305.16291,10.48550/arXiv.2305.16291,https://arxiv.org/abs/2305.16291,registry,Workflow,Modify,Response,Transition & Activation,4.00,0.81,11.42,10.97,1.85,0.85,2.40,2.40,low,full_text
text-based-prompt-injection-attack-using-mathematical-functions-in-modern-large,Text-Based Prompt Injection Attack Using Mathematical Functions in Modern Large Language Models,2024,kwon_2024_text_based_prompt_injection,,10.3390/electronics13245008,https://doi.org/10.3390/electronics13245008,registry,Tools & Skills,Activate,Violation,Authority Escalation,9.50,9.50,14.00,7.00,17.00,17.00,10.00,6.00,high,abstract_or_short
securegov-agent-a-governance-centric-multi-agent-framework-for-privacy-preservin,SecureGov-Agent: A Governance-Centric Multi-Agent Framework for Privacy-Preserving and Attack-Resilient LLM Agents,2025,chen_2025_securegov_agent_a_governance,,10.20944/preprints202512.2497.v1,https://doi.org/10.20944/preprints202512.2497.v1,registry,Workflow,Propagate,Response,Preventive Governance,6.00,6.00,10.00,6.00,25.00,15.50,11.00,9.00,medium,abstract_or_short
prompt-injection-attacks-on-large-language-models-multi-model-security-analysis,Prompt Injection Attacks on Large Language Models: Multi-Model Security Analysis with Categorized Attack Types,2025,a_al_2025_prompt_injection_attacks_on,,10.5220/0013838400004000,https://doi.org/10.5220/0013838400004000,registry,Tools & Skills,Activate,Violation,Authority Escalation,9.50,7.00,14.00,7.00,17.00,17.00,10.00,6.00,high,full_text
mind-mapping-prompt-injection-visual-prompt-injection-attacks-in-modern-large-la,Mind Mapping Prompt Injection: Visual Prompt Injection Attacks in Modern Large Language Models,2025,lee_2025_mind_mapping_prompt_injectio,,10.3390/electronics14101907,https://doi.org/10.3390/electronics14101907,registry,Tools & Skills,Activate,Violation,Authority Escalation,9.50,9.50,14.00,7.00,17.00,17.00,10.00,6.00,high,abstract_or_short
llm-firewall-using-validator-agent-for-prevention-against-prompt-injection-attac,LLM Firewall Using Validator Agent for Prevention Against Prompt Injection Attacks,2025,podpora_2025_llm_firewall_using_validator,,10.3390/app16010085,https://doi.org/10.3390/app16010085,registry,Tools & Skills,Activate,Violation,Authority Escalation,9.50,9.50,14.00,7.00,17.00,17.00,10.00,6.00,high,abstract_or_short
hybrid-real-time-framework-for-detecting-adaptive-prompt-injection-attacks-in-la,Hybrid Real-time Framework for Detecting Adaptive Prompt Injection Attacks in Large Language Models,2026,prakash_2026_hybrid_real_time_framework_f,,10.62411/jcta.15254,https://doi.org/10.62411/jcta.15254,registry,Tools & Skills,Activate,Violation,Authority Escalation,9.50,6.62,14.00,7.00,17.00,4.50,10.00,6.00,high,full_text
guardagent-safeguard-llm-agents-by-a-guard-agent-via-knowledge-enabled-reasoning,GuardAgent: Safeguard LLM Agents by a Guard Agent via Knowledge-Enabled Reasoning,2024,xiang2024guardagent,2406.09187,10.48550/arXiv.2406.09187,https://arxiv.org/abs/2406.09187,registry,Tools & Skills,Activate,Response,Monitoring & Containment,7.19,3.71,3.52,1.22,13.60,11.40,7.52,5.62,low,full_text
goal-guided-generative-prompt-injection-attack-on-large-language-models,Goal-Guided Generative Prompt Injection Attack on Large Language Models,2024,zhang_2024_goal_guided_generative_promp,,10.1109/icdm59182.2024.00119,https://doi.org/10.1109/icdm59182.2024.00119,registry,Tools & Skills,Activate,Violation,Authority Escalation,9.50,7.00,14.00,7.00,18.50,18.50,10.00,6.00,high,abstract_or_short
enhancing-security-in-large-language-models-a-comprehensive-review-of-prompt-inj,Enhancing Security in Large Language Models: A Comprehensive Review of Prompt Injection Attacks and Defenses,2025,mathew_2025_enhancing_security_in_large,,10.32604/jai.2025.069841,https://doi.org/10.32604/jai.2025.069841,registry,Tools & Skills,Activate,Violation,Authority Escalation,9.50,7.00,14.45,7.00,19.90,10.80,10.40,6.00,high,full_text
agent-safetybench-evaluating-the-safety-of-llm-agents,Agent-SafetyBench: Evaluating the Safety of LLM Agents,2024,zhang_2024_agent_safetybench_evaluating,,10.48550/arxiv.2412.14470,http://arxiv.org/abs/2412.14470,registry,Tools & Skills,Modify,Response,Monitoring & Containment,3.10,1.10,2.00,1.48,24.25,21.70,11.82,9.82,low,full_text
a-survey-on-the-memory-mechanism-of-large-language-model-based-agents,A Survey on the Memory Mechanism of Large Language Model-based Agents,2025,zhang_2025_a_survey_on_the_memory_mecha,,10.1145/3748302,https://doi.org/10.1145/3748302,registry,Memory,Modify,Violation,Provenance Loss,6.50,2.50,10.30,10.30,1.00,1.00,2.00,2.00,low,source_limited
the-task-shield-enforcing-task-alignment-to-defend-against-indirect-prompt-injec,The Task Shield: Enforcing Task Alignment to Defend Against Indirect Prompt Injection in LLM Agents,2025,jia_2025_the_task_shield_enforcing_ta,,10.18653/v1/2025.acl-long.1435,https://doi.org/10.18653/v1/2025.acl-long.1435,registry,Tools & Skills,Activate,Violation,Authority Escalation,9.50,9.50,14.00,7.00,13.00,4.50,10.00,4.00,high,full_text
survey-on-large-language-model-enhanced-reinforcement-learning-concept-taxonomy,"Survey on Large Language Model-Enhanced Reinforcement Learning: Concept, Taxonomy, and Methods",2024,cao_2024_survey_on_large_language_mod,,10.1109/tnnls.2024.3497992,https://doi.org/10.1109/tnnls.2024.3497992,registry,Memory,Modify,Violation,Provenance Loss,2.50,0.50,6.30,6.30,8.50,5.50,3.00,1.00,low,abstract_or_short
self-reflection-in-large-language-model-agents-effects-on-problem-solving-perfor,Self-Reflection in Large Language Model Agents: Effects on Problem-Solving Performance,2024,renze_2024_self_reflection_in_large_lan,,10.1109/fllm63129.2024.10852426,https://doi.org/10.1109/fllm63129.2024.10852426,registry,Workflow,Modify,Violation,Privacy & Purpose,8.00,5.50,10.60,0.60,2.50,2.50,2.00,0.00,low,abstract_or_short
safeguarding-large-language-models-a-survey,Safeguarding large language models: a survey,2025,dong_2025_safeguarding_large_language,,10.1007/s10462-025-11389-2,https://doi.org/10.1007/s10462-025-11389-2,registry,Tools & Skills,Modify,Response,Transition & Activation,2.50,0.50,2.82,2.82,18.80,9.60,3.50,0.44,low,full_text
med-agentx-multimodal-large-language-model-agents-with-explainable-reinforcement,Med-AgentX: Multimodal Large Language Model Agents with Explainable Reinforcement Learning for Trustworthy Biomedical Decision Support,2025,hiragar_2025_med_agentx_multimodal_large,,10.21203/rs.3.rs-7773686/v1,https://doi.org/10.21203/rs.3.rs-7773686/v1,registry,Memory,Modify,Response,Preventive Governance,2.50,0.50,6.00,6.00,8.50,1.50,2.00,0.00,low,full_text
llm-planner-few-shot-grounded-planning-for-embodied-agents-with-large-language-m,LLM-Planner: Few-Shot Grounded Planning for Embodied Agents with Large Language Models,2023,song_2023_llm_planner_few_shot_grounde,,10.1109/iccv51070.2023.00280,https://doi.org/10.1109/iccv51070.2023.00280,registry,Workflow,Modify,Violation,Privacy & Purpose,8.00,5.50,10.60,10.60,2.50,2.50,2.00,0.00,low,abstract_or_short
llm-coordination-evaluating-and-analyzing-multi-agent-coordination-abilities-in,LLM-Coordination: Evaluating and Analyzing Multi-agent Coordination Abilities in Large Language Models,2023,agashe_2023_llm_coordination_evaluating,,10.48550/arxiv.2310.03903,http://arxiv.org/abs/2310.03903,registry,Workflow,Propagate,Response,Monitoring & Containment,7.38,4.88,10.45,6.45,19.55,19.55,11.76,9.76,medium,full_text
from-automation-to-autonomy-a-survey-on-large-language-models-in-scientific-disc,From Automation to Autonomy: A Survey on Large Language Models in Scientific Discovery,2025,zheng_2025_from_automation_to_autonomy,,10.18653/v1/2025.emnlp-main.895,https://doi.org/10.18653/v1/2025.emnlp-main.895,registry,Tools & Skills,Activate,Violation,Authority Escalation,2.50,0.50,1.00,1.00,7.00,2.50,3.00,2.00,low,full_text
design-patterns-for-securing-llm-agents-against-prompt-injections,Design Patterns for Securing LLM Agents against Prompt Injections,2025,beurer_kellner_2025_design_patterns_for_securing,,10.48550/arxiv.2506.08837,http://arxiv.org/abs/2506.08837,registry,Tools & Skills,Activate,Violation,Authority Escalation,10.10,10.10,14.45,7.00,14.40,11.40,10.40,6.00,high,full_text
cognitive-agents-powered-by-large-language-models-for-agile-software-project-man,Cognitive Agents Powered by Large Language Models for Agile Software Project Management,2024,cinkusz_2024_cognitive_agents_powered_by,,10.3390/electronics14010087,https://doi.org/10.3390/electronics14010087,registry,Workflow,Modify,Violation,Operational Integrity,2.00,2.00,1.00,1.00,7.00,4.00,2.00,1.00,low,abstract_or_short
agentic-ai-in-healthcare-and-medicine-a-seven-dimensional-taxonomy-for-empirical,Agentic AI in Healthcare and Medicine: A Seven-Dimensional Taxonomy for Empirical Evaluation of LLM-Based Agents,2026,vatsal_2026_agentic_ai_in_healthcare_and,,10.1109/access.2026.3651218,https://doi.org/10.1109/access.2026.3651218,registry,Memory,Modify,Violation,Provenance Loss,2.50,0.50,2.00,2.00,8.50,0.00,3.00,1.00,low,abstract_or_short
unveiling-privacy-risks-in-llm-agent-memory,Unveiling Privacy Risks in LLM Agent Memory,2025,wang2025privacy_agent_memory,2502.13172,10.48550/arXiv.2502.13172,https://arxiv.org/abs/2502.13172,registry,Memory,Add,Violation,Privacy & Purpose,14.85,14.85,5.00,3.00,12.25,10.40,6.52,4.52,medium,full_text
towards-autonomous-system-flexible-modular-production-system-enhanced-with-large,Towards autonomous system: flexible modular production system enhanced with large language model agents,2023,xia_2023_towards_autonomous_system_fl,,10.1109/etfa54631.2023.10275362,https://doi.org/10.1109/etfa54631.2023.10275362,registry,Workflow,Modify,Violation,Privacy & Purpose,4.00,1.50,10.60,10.60,2.50,2.50,2.00,0.00,low,abstract_or_short
towards-autonomous-testing-agents-via-conversational-large-language-models,Towards Autonomous Testing Agents via Conversational Large Language Models,2023,feldt_2023_towards_autonomous_testing_a,,10.1109/ase56229.2023.00148,https://doi.org/10.1109/ase56229.2023.00148,registry,Workflow,Modify,Violation,Privacy & Purpose,4.00,1.50,10.60,10.60,2.50,2.50,2.00,0.00,low,abstract_or_short
toward-autonomous-llm-based-ai-agents-for-predictive-maintenance-state-of-the-ar,"Toward Autonomous LLM-Based AI Agents for Predictive Maintenance: State of the Art, Challenges, and Future Perspectives",2025,maggio_2025_toward_autonomous_llm_based,,10.3390/app152111515,https://doi.org/10.3390/app152111515,registry,Workflow,Modify,Violation,Operational Integrity,2.00,2.00,1.00,1.00,7.00,4.00,2.00,1.00,low,abstract_or_short
smart-llm-smart-multi-agent-robot-task-planning-using-large-language-models,SMART-LLM: Smart Multi-Agent Robot Task Planning using Large Language Models,2024,kannan_2024_smart_llm_smart_multi_agent,,10.1109/iros58592.2024.10802322,https://doi.org/10.1109/iros58592.2024.10802322,registry,Workflow,Modify,Violation,Privacy & Purpose,8.60,6.10,10.60,0.60,2.50,2.50,2.00,0.00,low,abstract_or_short
reflexion-language-agents-with-verbal-reinforcement-learning,Reflexion: Language Agents with Verbal Reinforcement Learning,2023,shinn2023reflexion,2303.11366,10.48550/arXiv.2303.11366,https://arxiv.org/abs/2303.11366,registry,Workflow,Modify,Response,Monitoring & Containment,6.00,2.81,9.59,1.59,3.70,2.70,2.70,2.70,low,full_text
mechagents-large-language-model-multi-agent-collaborations-can-solve-mechanics-p,"MechAgents: Large language model multi-agent collaborations can solve mechanics problems, generate new data, and integrate knowledge",2024,ni_2024_mechagents_large_language_mo,,10.1016/j.eml.2024.102131,https://doi.org/10.1016/j.eml.2024.102131,registry,Workflow,Modify,Violation,Operational Integrity,8.00,8.00,10.30,0.30,1.00,1.00,2.00,2.00,low,source_limited
large-language-model-based-multi-agents-a-survey-of-progress-and-challenges,Large Language Model based Multi-Agents: A Survey of Progress and Challenges,2024,guo_2024_large_language_model_based_m,2402.01680,10.48550/arXiv.2402.01680,https://arxiv.org/abs/2402.01680,registry,Workflow,Modify,Response,Monitoring & Containment,8.69,4.84,11.35,0.90,1.85,0.85,2.40,2.40,low,full_text
evaluating-very-long-term-conversational-memory-of-llm-agents,Evaluating Very Long-Term Conversational Memory of LLM Agents,2024,maharana_2024_evaluating_very_long_term_co,,10.48550/arxiv.2402.17753,http://arxiv.org/abs/2402.17753,registry,Memory,Modify,Response,Monitoring & Containment,8.03,6.03,2.45,2.00,17.70,17.70,11.76,9.76,low,full_text
evaluating-memory-in-llm-agents-via-incremental-multi-turn-interactions,Evaluating Memory in LLM Agents via Incremental Multi-Turn Interactions,2025,hu_2025_evaluating_memory_in_llm_age,,10.48550/arxiv.2507.05257,http://arxiv.org/abs/2507.05257,registry,Memory,Modify,Response,Monitoring & Containment,8.12,5.52,4.82,4.23,17.70,17.70,11.76,9.76,medium,full_text
enhancing-diagnostic-capability-with-multi-agents-conversational-large-language,Enhancing diagnostic capability with multi-agents conversational large language models,2025,chen_2025_enhancing_diagnostic_capabil,,10.1038/s41746-025-01550-0,https://doi.org/10.1038/s41746-025-01550-0,registry,Workflow,Modify,Violation,Operational Integrity,8.69,5.59,10.75,0.30,1.00,0.30,2.00,2.00,low,full_text
breaking-agents-compromising-autonomous-llm-agents-through-malfunction-amplifica,Breaking Agents: Compromising Autonomous LLM Agents Through Malfunction Amplification,2024,zhang_2024_breaking_agents_compromising,,10.48550/arxiv.2407.20859,http://arxiv.org/abs/2407.20859,registry,Memory,Modify,Violation,Provenance Loss,3.85,1.25,2.00,1.55,13.10,6.05,3.00,1.00,low,full_text
a-survey-on-large-language-model-based-autonomous-agents,A Survey on Large Language Model based Autonomous Agents,2023,wang_2023_a_survey_on_large_language_m,2308.11432,10.48550/arXiv.2308.11432,https://arxiv.org/abs/2308.11432,registry,Workflow,Modify,Response,Monitoring & Containment,4.00,0.75,11.12,10.67,2.20,1.20,2.40,2.40,low,full_text
understanding-the-weakness-of-large-language-model-agents-within-a-complex-andro,Understanding the Weakness of Large Language Model Agents within a Complex Android Environment,2024,xing_2024_understanding_the_weakness_o,,10.1145/3637528.3671650,https://doi.org/10.1145/3637528.3671650,registry,Workflow,Modify,Response,Monitoring & Containment,2.00,2.00,2.00,2.00,13.00,13.00,7.30,5.30,low,source_limited
trustworthy-agentic-ai-systems-a-cross-layer-review-of-architectures-threat-mode,"Trustworthy agentic AI systems: a cross-layer review of architectures, threat models, and governance strategies for real-world deployment",2025,adabara_2025_trustworthy_agentic_ai_syste,,10.12688/f1000research.169927.1,https://doi.org/10.12688/f1000research.169927.1,registry,Memory,Activate,Response,Preventive Governance,3.48,0.38,6.52,3.70,17.60,5.20,6.46,4.06,low,full_text
transforming-wearable-data-into-personal-health-insights-using-large-language-mo,Transforming wearable data into personal health insights using large language model agents,2026,merrill_2026_transforming_wearable_data_i,,10.1038/s41467-025-67922-y,https://doi.org/10.1038/s41467-025-67922-y,registry,Memory,Modify,Response,Monitoring & Containment,3.94,0.84,4.00,3.55,14.05,14.05,7.76,5.36,low,full_text
signed-prompt-a-new-approach-to-prevent-prompt-injection-attacks-against-llm-int,Signed-Prompt: A New Approach to Prevent Prompt Injection Attacks Against LLM-Integrated Applications,2024,suo_2024_signed_prompt_a_new_approach,2401.07612,10.48550/arXiv.2401.07612,https://arxiv.org/abs/2401.07612,registry,Tools & Skills,Activate,Violation,Authority Escalation,9.50,8.90,14.45,7.00,19.55,17.35,10.40,5.94,high,full_text
prompt-injection-attack-against-llm-integrated-applications,Prompt Injection attack against LLM-integrated Applications,2023,liu_2023_prompt_injection_attack_agai,2306.05499,10.48550/arXiv.2306.05499,https://arxiv.org/abs/2306.05499,registry,Tools & Skills,Activate,Violation,Authority Escalation,9.50,6.40,14.52,7.07,18.40,16.55,10.40,6.00,high,full_text
pre-execution-self-review-catching-a-self-introduced-state-threading-defect-in-a,Pre-execution self-review catching a self-introduced state-threading defect in an autonomous code-remediation agent,2026,jewell_2026_pre_execution_self_review_ca,,10.5281/zenodo.20245469,https://github.com/hyperpolymath/technical-notes,registry,Workflow,Activate,Violation,Operational Integrity,2.00,2.00,6.00,6.00,7.00,4.00,2.00,1.00,low,full_text
large-language-model-agent-a-survey-on-methodology-applications-and-challenges,"Large Language Model Agent: A Survey on Methodology, Applications and Challenges",2025,luo2025llm_agent_survey,2503.21460,10.48550/arXiv.2503.21460,https://arxiv.org/abs/2503.21460,registry,Memory,Modify,Response,Monitoring & Containment,4.22,1.03,2.82,2.37,4.85,3.35,2.70,0.70,low,full_text
hybrid-governance-architecture-a-self-improving-memory-substrate-for-llm-agents,Hybrid Governance Architecture: A Self-Improving Memory Substrate for LLM Agents with Progressive Cost Reduction and Deterministic Replay,2026,sertel_2026_hybrid_governance_architectu,,10.5281/zenodo.19029778,https://doi.org/10.5281/zenodo.19029778,registry,Memory,Modify,Response,Preventive Governance,7.25,1.25,6.00,6.00,17.00,17.00,11.00,9.00,medium,full_text
from-prompt-injections-to-sql-injection-attacks-how-protected-is-your-llm-integr,From Prompt Injections to SQL Injection Attacks: How Protected is Your LLM-Integrated Web Application?,2023,pedro_2023_from_prompt_injections_to_sq,2308.01990,10.48550/arXiv.2308.01990,https://arxiv.org/abs/2308.01990,registry,Tools & Skills,Activate,Violation,Authority Escalation,9.50,9.50,14.00,7.00,17.00,13.00,10.00,6.00,high,full_text
exploring-large-language-model-driven-agents-for-environment-aware-spatial-inter,Exploring Large Language Model-Driven Agents for Environment-Aware Spatial Interactions and Conversations in Virtual Reality Role-Play Scenarios,2025,li_2025_exploring_large_language_mod,,10.1109/vr59515.2025.00025,https://doi.org/10.1109/vr59515.2025.00025,registry,Memory,Modify,Response,Monitoring & Containment,2.50,0.50,4.00,4.00,13.00,11.50,7.30,5.30,low,abstract_or_short
evaluating-large-language-model-agents-for-automation-of-atomic-force-microscopy,Evaluating large language model agents for automation of atomic force microscopy,2025,mandal_2025_evaluating_large_language_mo,,10.1038/s41467-025-64105-7,https://doi.org/10.1038/s41467-025-64105-7,registry,Workflow,Modify,Response,Monitoring & Containment,2.78,0.28,4.95,4.50,19.45,19.45,11.82,9.82,low,full_text
blockchain-for-large-language-model-security-and-safety-a-holistic-survey,Blockchain for Large Language Model Security and Safety: A Holistic Survey,2025,geren_2025_blockchain_for_large_languag,,10.1145/3715073.3715075,https://doi.org/10.1145/3715073.3715075,registry,Tools & Skills,Activate,Violation,Authority Escalation,9.50,9.50,8.00,8.00,9.00,5.00,6.00,6.00,medium,source_limited
agentsims-an-open-source-sandbox-for-large-language-model-evaluation,AgentSims: An Open-Source Sandbox for Large Language Model Evaluation,2023,lin_2023_agentsims_an_open_source_san,,10.48550/arxiv.2308.04026,http://arxiv.org/abs/2308.04026,registry,Memory,Modify,Response,Monitoring & Containment,3.10,0.00,2.45,1.93,17.70,15.85,12.36,10.36,low,full_text
ai-agents-under-threat-a-survey-of-key-security-challenges-and-future-pathways,AI Agents Under Threat: A Survey of Key Security Challenges and Future Pathways,2024,deng_2024_ai_agents_under_threat_a_sur,2406.02630,10.48550/arXiv.2406.02630,https://arxiv.org/abs/2406.02630,registry,Workflow,Activate,Violation,Privacy & Purpose,2.60,0.10,0.45,0.45,12.85,7.30,2.00,0.00,low,full_text
a-unified-evaluation-and-governance-framework-for-trustworthy-llm-agents,A Unified Evaluation and Governance Framework for Trustworthy LLM Agents,2026,bamil_2026_a_unified_evaluation_and_gov,,10.36227/techrxiv.176799772.28164151/v1,https://doi.org/10.36227/techrxiv.176799772.28164151/v1,registry,Workflow,Modify,Response,Preventive Governance,2.00,2.00,4.00,4.00,30.50,30.50,11.00,4.70,low,source_limited
a-survey-on-trustworthy-llm-agents-threats-and-countermeasures,A Survey on Trustworthy LLM Agents: Threats and Countermeasures,2025,yu2025trustworthy_llm_agents,2503.09648,10.48550/arXiv.2503.09648,https://arxiv.org/abs/2503.09648,registry,Memory,Modify,Response,Monitoring & Containment,3.25,0.75,2.00,2.00,8.50,3.00,2.30,2.30,low,full_text
a-survey-on-self-evolution-of-large-language-models,A Survey on Self-Evolution of Large Language Models,2024,tao2024self_evolution_llm_survey,2404.14387,10.48550/arXiv.2404.14387,https://arxiv.org/abs/2404.14387,registry,Workflow,Modify,Response,Monitoring & Containment,1.60,1.00,3.48,2.97,2.20,2.20,2.40,2.40,low,full_text
a-study-on-prompt-injection-attack-against-llm-integrated-mobile-robotic-systems,A Study on Prompt Injection Attack Against LLM-Integrated Mobile Robotic Systems,2024,zhang_2024_a_study_on_prompt_injection,,10.1109/issrew63542.2024.00103,https://doi.org/10.1109/issrew63542.2024.00103,registry,Tools & Skills,Activate,Violation,Authority Escalation,9.50,7.00,14.00,7.00,18.50,18.50,10.00,6.00,high,abstract_or_short
